
PID,USER,PR,NI,VIRT,RES,SHR,S,%CPU,%MEM,TIME+,COMMAND
7184,jay,20,0,4114056,33640,24736,S,9.4,0.4,0:00.21,java
8391,logstash,20,0,6738672,805152,28940,S,9.4,9.9,8:24.87,java
4828,jay,20,0,1621688,287840,88200,R,6.2,3.5,24:36.19,gnome-shell
5967,jay,20,0,18.798g,384764,117268,R,6.2,4.7,8:27.44,code
7209,jay,20,0,41800,3736,3120,R,6.2,0.0,0:00.02,top
3714,sguil,20,0,273188,118920,51116,R,3.1,1.5,39:37.67,zeek
4315,jay,20,0,178860,1816,1468,S,3.1,0.0,0:12.13,VBoxClient
6159,elastic+,20,0,2750228,996.7m,162940,S,3.1,12.5,3:51.66,java
7225,root,20,0,13232,3596,2796,R,3.1,0.0,0:00.01,nsm_sensor_+
29722,jay,20,0,4932376,145800,93028,S,3.1,1.8,1:05.04,code
1,root,20,0,119664,5780,4000,S,0.0,0.1,0:05.51,systemd
2,root,20,0,0,0,0,S,0.0,0.0,0:00.00,kthreadd
4,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker/0:0H
6,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,mm_percpu_wq
7,root,20,0,0,0,0,S,0.0,0.0,0:04.94,ksoftirqd/0
8,root,20,0,0,0,0,I,0.0,0.0,0:07.29,rcu_sched
9,root,20,0,0,0,0,I,0.0,0.0,0:00.00,rcu_bh
10,root,rt,0,0,0,0,S,0.0,0.0,0:00.00,migration/0
11,root,rt,0,0,0,0,S,0.0,0.0,0:00.03,watchdog/0
12,root,20,0,0,0,0,S,0.0,0.0,0:00.00,cpuhp/0
13,root,20,0,0,0,0,S,0.0,0.0,0:00.00,kdevtmpfs
14,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,netns
15,root,20,0,0,0,0,S,0.0,0.0,0:00.00,rcu_tasks_k+
16,root,20,0,0,0,0,S,0.0,0.0,0:00.00,kauditd
17,root,20,0,0,0,0,S,0.0,0.0,0:00.01,khungtaskd
18,root,20,0,0,0,0,S,0.0,0.0,0:00.00,oom_reaper
19,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,writeback
20,root,20,0,0,0,0,S,0.0,0.0,0:00.00,kcompactd0
21,root,25,5,0,0,0,S,0.0,0.0,0:00.00,ksmd
22,root,39,19,0,0,0,S,0.0,0.0,0:00.17,khugepaged
23,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,crypto
24,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kintegrityd
25,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kblockd
26,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ata_sff
27,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,md
28,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,edac-poller
29,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,devfreq_wq
30,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,watchdogd
34,root,20,0,0,0,0,S,0.0,0.0,0:03.32,kswapd0
35,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kworker/u3:0
36,root,20,0,0,0,0,S,0.0,0.0,0:00.00,ecryptfs-kt+
78,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kthrotld
79,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,acpi_therma+
80,root,20,0,0,0,0,S,0.0,0.0,0:00.00,scsi_eh_0
81,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,scsi_tmf_0
82,root,20,0,0,0,0,S,0.0,0.0,0:00.00,scsi_eh_1
83,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,scsi_tmf_1
89,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ipv6_addrco+
98,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kstrp
115,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,charger_man+
170,root,0,-20,0,0,0,I,0.0,0.0,0:02.24,kworker/0:1H
202,root,20,0,0,0,0,S,0.0,0.0,0:00.02,scsi_eh_2
203,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,scsi_tmf_2
204,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ttm_swap
205,root,-51,0,0,0,0,S,0.0,0.0,0:00.00,irq/18-vmwg+
284,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,raid5wq
316,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kdmflush
317,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,bioset
379,root,20,0,0,0,0,S,0.0,0.0,0:01.72,jbd2/dm-0-8
380,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ext4-rsv-co+
434,root,20,0,35368,4364,3948,S,0.0,0.1,0:00.34,systemd-jou+
457,root,20,0,102968,1568,1340,S,0.0,0.0,0:00.00,lvmetad
460,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,iscsi_eh
468,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ib-comp-wq
469,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ib-comp-unb+
470,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ib_mcast
471,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ib_nl_sa_wq
472,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,rdma_cm
481,root,20,0,46368,4784,2588,S,0.0,0.1,0:02.01,systemd-ude+
597,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,iprt-VBoxWQ+
775,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,kdmflush
776,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,bioset
828,root,0,-20,0,0,0,I,0.0,0.0,0:00.00,ext4-rsv-co+
985,root,20,0,28680,2896,2480,S,0.0,0.0,0:00.43,systemd-log+
986,message+,20,0,43704,4508,3348,S,0.0,0.1,0:05.81,dbus-daemon
1019,root,20,0,29008,2420,2196,S,0.0,0.0,0:00.25,cron
1025,root,20,0,382576,16576,13476,S,0.0,0.2,0:02.13,NetworkMana+
1069,root,20,0,4396,1272,1184,S,0.0,0.0,0:00.28,acpid
1071,root,20,0,291288,7548,6644,S,0.0,0.1,0:00.43,accounts-da+
1076,daemon,20,0,26044,2084,1892,S,0.0,0.0,0:00.00,atd
1142,root,20,0,13372,160,20,S,0.0,0.0,0:00.00,mdadm
1283,root,20,0,293820,9504,7180,S,0.0,0.1,0:05.20,polkitd
1439,root,20,0,16124,860,0,S,0.0,0.0,0:00.00,dhclient
1562,root,20,0,174620,18380,10880,S,0.0,0.2,0:00.15,unattended-+
1599,root,20,0,503360,48276,26876,S,0.0,0.6,0:04.08,containerd
1624,mysql,20,0,1174044,203340,17544,S,0.0,2.5,0:11.30,mysqld
1631,root,20,0,65512,3768,3080,S,0.0,0.0,0:00.01,sshd
1690,root,20,0,5220,148,36,S,0.0,0.0,0:00.24,iscsid
1694,root,10,-10,5720,3532,2448,S,0.0,0.0,0:01.20,iscsid
1958,root,20,0,387460,29372,21944,S,0.0,0.4,0:00.44,apache2
1976,root,20,0,607200,89596,49044,S,0.0,1.1,0:10.81,dockerd
1997,ntp,20,0,110036,3736,3108,S,0.0,0.0,0:01.11,ntpd
2030,www-data,20,0,387692,9808,2332,S,0.0,0.1,0:00.00,apache2
2031,www-data,20,0,387692,9808,2332,S,0.0,0.1,0:00.00,apache2
2032,www-data,20,0,387692,9808,2332,S,0.0,0.1,0:00.00,apache2
2033,www-data,20,0,387692,9808,2332,S,0.0,0.1,0:00.00,apache2
2034,www-data,20,0,387692,9808,2332,S,0.0,0.1,0:00.00,apache2
2184,root,20,0,72704,3076,3072,S,0.0,0.0,0:00.01,su
2226,sguil,20,0,45320,4588,4104,S,0.0,0.1,0:01.54,systemd
2237,sguil,20,0,81548,1532,0,S,0.0,0.0,0:00.00,(sd-pam)
2293,sguil,20,0,59152,8676,5112,S,0.0,0.1,0:00.48,tclsh
2569,root,20,0,118524,5924,4924,S,0.0,0.1,0:00.43,ossec-authd
2596,ossec,20,0,642736,6124,3784,S,0.0,0.1,0:05.38,wazuh-db
2605,root,20,0,36460,2820,1936,S,0.0,0.0,0:00.23,ossec-execd
2627,ossec,20,0,713824,17360,2552,S,0.0,0.2,0:05.65,ossec-analy+
2637,root,20,0,113296,7796,3164,S,0.0,0.1,1:00.86,ossec-sysch+
2651,ossecr,20,0,447280,3752,2660,S,0.0,0.0,0:27.77,ossec-remot+
2659,root,20,0,405092,3152,2040,S,0.0,0.0,0:06.97,ossec-logco+
2681,root,20,0,72704,3000,2996,S,0.0,0.0,0:00.00,su
2684,sguil,20,0,41152,6124,3392,S,0.0,0.1,0:00.77,tclsh
2693,ossec,20,0,36448,4228,3248,S,0.0,0.1,0:00.69,ossec-monit+
2712,root,20,0,481084,5936,4152,S,0.0,0.1,0:00.03,wazuh-modul+
2804,sguil,20,0,55840,3272,2556,S,0.0,0.0,0:00.31,tclsh
2805,sguil,20,0,55840,2856,2332,S,0.0,0.0,0:00.00,tclsh
3229,root,20,0,0,0,0,I,0.0,0.0,0:00.27,kworker/0:1
3446,jay,20,0,22576,4940,3128,S,0.0,0.1,0:00.05,bash
3468,jay,20,0,22572,5108,3304,S,0.0,0.1,0:00.04,bash
3614,sguil,20,0,12552,1552,1548,S,0.0,0.0,0:00.00,bash
4051,sguil,20,0,7324,468,404,S,0.0,0.0,0:00.00,tail
4185,root,20,0,292168,7160,6812,S,0.0,0.1,0:00.03,lightdm
4207,root,20,0,312952,2676,2292,S,0.0,0.0,0:01.66,VBoxService
4229,root,20,0,15936,1464,1332,S,0.0,0.0,0:00.00,agetty
4239,root,20,0,445484,99168,42452,S,0.0,1.2,2:36.26,Xorg
4269,root,20,0,246568,6636,5740,S,0.0,0.1,0:00.00,lightdm
4274,jay,20,0,45320,4504,3788,S,0.0,0.1,0:01.72,systemd
4275,jay,20,0,163476,1952,0,S,0.0,0.0,0:00.00,(sd-pam)
4278,jay,20,0,4504,696,624,S,0.0,0.0,0:00.05,gnome-sessi+
4296,jay,20,0,46108,344,0,S,0.0,0.0,0:00.00,VBoxClient
4297,jay,20,0,180284,2988,2456,S,0.0,0.0,0:00.04,VBoxClient
4307,jay,20,0,46108,344,0,S,0.0,0.0,0:00.00,VBoxClient
4308,jay,20,0,178344,1904,1556,S,0.0,0.0,0:00.01,VBoxClient
4314,jay,20,0,46108,344,0,S,0.0,0.0,0:00.00,VBoxClient
4319,jay,20,0,46108,340,0,S,0.0,0.0,0:00.00,VBoxClient
4320,jay,20,0,182656,2680,2184,S,0.0,0.0,0:00.03,VBoxClient
4403,jay,20,0,11144,308,0,S,0.0,0.0,0:00.03,ssh-agent
4406,jay,20,0,43736,2292,1856,S,0.0,0.0,0:00.00,dbus-launch
4407,jay,20,0,43544,3856,2760,S,0.0,0.0,0:01.44,dbus-daemon
4424,jay,20,0,359836,9828,6716,S,0.0,0.1,0:08.40,ibus-daemon
4425,jay,20,0,568736,13932,11876,S,0.0,0.2,0:00.45,gnome-sessi+
4430,jay,20,0,274516,6000,5248,S,0.0,0.1,0:00.07,gvfsd
4440,jay,20,0,277656,7352,6600,S,0.0,0.1,0:00.01,ibus-dconf
4441,jay,20,0,549684,52788,41988,S,0.0,0.6,0:00.56,ibus-ui-gtk3
4445,jay,20,0,469592,48908,39152,S,0.0,0.6,0:04.76,ibus-x11
4453,root,20,0,72704,3020,3000,S,0.0,0.0,0:00.00,su
4455,sguil,20,0,37400,6292,4256,S,0.0,0.1,0:00.08,tclsh
4496,root,20,0,72704,3072,3056,S,0.0,0.0,0:00.00,su
4498,sguil,20,0,36704,4728,3308,S,0.0,0.1,0:00.07,tclsh
4500,jay,20,0,353552,7536,6748,S,0.0,0.1,0:00.01,at-spi-bus-+
4505,jay,20,0,42896,3800,3352,S,0.0,0.0,0:00.20,dbus-daemon
4507,sguil,20,0,7324,264,200,S,0.0,0.0,0:00.00,tail
4512,jay,20,0,206972,6264,5596,S,0.0,0.1,0:00.86,at-spi2-reg+
4546,jay,20,0,454912,34104,22728,S,0.0,0.4,0:00.98,gnome-scree+
4557,sguil,20,0,439508,345988,11988,S,0.0,4.2,0:06.45,snort
4565,jay,20,0,201668,7080,6348,S,0.0,0.1,0:02.41,ibus-engine+
4573,jay,20,0,990344,35440,28016,S,0.0,0.4,0:02.45,gnome-setti+
4595,jay,20,0,278936,6240,5524,S,0.0,0.1,0:00.42,gnome-keyri+
4608,sguil,20,0,54920,12284,3468,R,0.0,0.2,0:48.25,barnyard2
4620,jay,9,-11,577268,15448,12040,S,0.0,0.2,0:01.06,pulseaudio
4622,rtkit,21,1,183544,2968,2692,S,0.0,0.0,0:00.08,rtkit-daemon
4623,root,20,0,347140,9132,7864,S,0.0,0.1,0:00.05,upowerd
4778,colord,20,0,313504,11768,9096,S,0.0,0.1,0:00.12,colord
4949,root,20,0,113384,4648,3812,S,0.0,0.1,0:00.32,containerd-+
4971,jay,20,0,611352,14476,12336,S,0.0,0.2,0:00.08,gnome-shell+
4987,freqser+,20,0,97512,13776,6796,S,0.0,0.2,0:00.19,python
5005,jay,20,0,764464,20712,17400,S,0.0,0.3,0:00.12,evolution-s+
5026,jay,20,0,391852,11820,10360,S,0.0,0.1,0:00.49,mission-con+
5032,jay,20,0,296384,8832,7396,S,0.0,0.1,0:03.79,gvfs-udisks+
5052,root,20,0,382584,10108,7996,S,0.0,0.1,0:01.21,udisksd
5071,jay,20,0,259520,3948,3556,S,0.0,0.0,0:00.01,gvfs-mtp-vo+
5076,jay,20,0,257532,3724,3420,S,0.0,0.0,0:00.00,gvfs-goa-vo+
5086,jay,20,0,271720,4480,3956,S,0.0,0.1,0:00.00,gvfs-gphoto+
5121,jay,20,0,403604,8220,7196,S,0.0,0.1,0:00.01,gvfs-afc-vo+
5183,jay,20,0,977520,50248,36176,S,0.0,0.6,0:06.43,nautilus
5187,jay,20,0,403176,12032,10556,S,0.0,0.1,0:00.15,indicator-a+
5253,jay,20,0,363664,8008,6956,S,0.0,0.1,0:00.51,gvfsd-trash
5278,jay,20,0,869632,59124,21072,S,0.0,0.7,0:00.26,evolution-c+
5313,jay,20,0,185976,4620,4140,S,0.0,0.1,0:00.01,gvfsd-metad+
5395,jay,20,0,814328,50580,13816,S,0.0,0.6,0:00.21,evolution-c+
5405,root,20,0,111976,4900,4132,S,0.0,0.1,0:00.31,containerd-+
5442,domains+,20,0,457644,275484,7360,S,0.0,3.4,0:18.80,python
5459,jay,20,0,741368,49372,12708,S,0.0,0.6,0:00.29,evolution-c+
5463,jay,20,0,697128,18664,15788,S,0.0,0.2,0:00.06,evolution-a+
5478,jay,20,0,772612,18768,15912,S,0.0,0.2,0:00.12,evolution-a+
5718,root,20,0,0,0,0,I,0.0,0.0,0:00.14,kworker/0:0
5779,root,20,0,0,0,0,I,0.0,0.0,0:00.01,kworker/u2:0
5932,root,20,0,208860,4004,2624,S,0.0,0.0,0:00.00,docker-proxy
5962,root,20,0,208860,4068,2692,S,0.0,0.0,0:00.05,docker-proxy
5993,root,20,0,111976,4708,4196,S,0.0,0.1,0:00.38,containerd-+
6013,jay,20,0,4744024,138684,55444,S,0.0,1.7,0:36.86,code
6026,elastic+,20,0,4368,572,568,S,0.0,0.0,0:00.37,tini
6058,jay,20,0,4635008,66916,49144,S,0.0,0.8,0:01.63,code
6286,root,20,0,0,0,0,I,0.0,0.0,0:00.00,kworker/u2:1
6430,root,20,0,0,0,0,I,0.0,0.0,0:00.02,kworker/u2:2
6448,jay,20,0,3585872,781820,154268,S,0.0,9.6,5:27.57,java
6651,jay,20,0,4593556,63020,48484,S,0.0,0.8,0:00.61,code
7199,root,20,0,208860,4008,2624,S,0.0,0.0,0:00.00,docker-proxy
7208,jay,20,0,12540,2908,2692,S,0.0,0.0,0:00.00,performance+
7211,jay,20,0,16304,1056,948,S,0.0,0.0,0:00.00,sed
7212,root,20,0,70756,3600,3000,S,0.0,0.0,0:00.00,cron
7213,root,20,0,70756,3600,3000,S,0.0,0.0,0:00.00,cron
7215,root,20,0,70756,3600,3000,S,0.0,0.0,0:00.00,cron
7216,root,20,0,70756,3600,3000,S,0.0,0.0,0:00.00,cron
7217,root,20,0,70756,3600,3000,S,0.0,0.0,0:00.00,cron
7218,root,20,0,70756,3600,3000,S,0.0,0.0,0:00.00,cron
7219,root,20,0,4504,740,672,S,0.0,0.0,0:00.00,sh
7220,root,20,0,4504,736,668,S,0.0,0.0,0:00.00,sh
7221,root,20,0,4504,784,716,S,0.0,0.0,0:00.00,sh
7222,root,20,0,4504,696,628,S,0.0,0.0,0:00.00,sh
7224,root,20,0,4504,748,676,S,0.0,0.0,0:00.00,sh
7228,root,20,0,12532,3016,2800,S,0.0,0.0,0:00.00,so-squert-i+
7230,root,20,0,4504,708,640,S,0.0,0.0,0:00.00,sh
7231,root,20,0,12520,3052,2844,R,0.0,0.0,0:00.00,so-netsniff+
7233,root,20,0,12532,3132,2916,S,0.0,0.0,0:00.00,so-zeek-cron
7245,root,20,0,111720,4976,4184,S,0.0,0.1,0:00.30,containerd-+
7273,kibana,20,0,212,0,0,S,0.0,0.0,0:00.04,dumb-init
7275,root,20,0,80272,9652,6376,R,0.0,0.1,0:00.00,php
7280,root,20,0,70484,12940,6976,R,0.0,0.2,0:00.00,docker
7281,root,20,0,70584,3708,3192,R,0.0,0.0,0:00.00,su
7283,root,20,0,12524,3008,2804,S,0.0,0.0,0:00.00,so-curator-+
7323,kibana,20,0,1168608,121936,27068,S,0.0,1.5,0:31.17,node
7532,jay,20,0,22572,5148,3296,S,0.0,0.1,0:01.46,bash
8286,root,20,0,217056,3956,2576,S,0.0,0.0,0:00.01,docker-proxy
8298,root,20,0,217056,4004,2628,S,0.0,0.0,0:00.01,docker-proxy
8310,root,20,0,217056,3912,2532,S,0.0,0.0,0:00.01,docker-proxy
